                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.57787,                0.46431,                0.99368,                0.89677,                0.89635,                0.92326,                0.85177,                0.50139,                 0.4249,                0.93422,               0.003664,               0.003664,               0.003664
                     99,                0.57346,                0.46412,                0.98897,                0.89817,                0.89893,                0.92448,                0.85375,                0.49759,                0.42733,                0.93224,               0.003598,               0.003598,               0.003598
                    100,                 0.5716,                   0.46,                0.98736,                0.90434,                0.89964,                0.92613,                0.85521,                0.49633,                0.42198,                0.93026,               0.003532,               0.003532,               0.003532
                    101,                0.56914,                0.45962,                0.98687,                0.90019,                0.89817,                0.92412,                0.85405,                0.49586,                0.42572,                0.92945,               0.003466,               0.003466,               0.003466
                    102,                0.56743,                0.46136,                0.98604,                 0.9022,                0.89964,                0.92532,                0.85414,                0.49683,                0.42368,                0.92956,                 0.0034,                 0.0034,                 0.0034
                    103,                0.57174,                0.45455,                0.98977,                0.90437,                0.89709,                0.92412,                0.85201,                  0.496,                 0.4304,                0.92822,               0.003334,               0.003334,               0.003334
                    104,                0.56733,                0.45456,                 0.9873,                0.90185,                0.89321,                0.92138,                0.85026,                0.49734,                0.43497,                0.93012,               0.003268,               0.003268,               0.003268
                    105,                0.55863,                0.44383,                0.98194,                0.90622,                0.88941,                0.92223,                0.84972,                0.49626,                0.43216,                0.93036,               0.003202,               0.003202,               0.003202
                    106,                0.56219,                0.44738,                0.98695,                0.90405,                0.89589,                0.92346,                0.85078,                0.49665,                0.43021,                  0.931,               0.003136,               0.003136,               0.003136
                    107,                0.56128,                0.44794,                0.98473,                0.91382,                0.89025,                0.92467,                0.85351,                0.49485,                0.42743,                0.92993,                0.00307,                0.00307,                0.00307
                    108,                0.55159,                0.43956,                0.98336,                0.90631,                0.89997,                0.92554,                0.85506,                0.49401,                0.42266,                0.92903,               0.003004,               0.003004,               0.003004
                    109,                0.55952,                0.44587,                0.98488,                0.91066,                 0.8944,                0.92481,                0.85433,                 0.4927,                0.42118,                0.92753,               0.002938,               0.002938,               0.002938
                    110,                0.55697,                0.43938,                 0.9821,                0.90289,                0.89813,                0.92439,                0.85404,                0.48986,                0.42059,                0.92586,               0.002872,               0.002872,               0.002872
                    111,                0.54633,                0.43276,                0.97515,                0.91263,                0.89155,                0.92455,                0.85441,                0.48742,                0.41675,                 0.9247,               0.002806,               0.002806,               0.002806
                    112,                0.54984,                0.43734,                 0.9782,                0.90835,                0.89317,                0.92514,                0.85483,                0.48888,                0.41906,                0.92577,                0.00274,                0.00274,                0.00274
                    113,                0.54916,                0.43615,                0.97822,                0.90425,                0.89353,                0.92376,                0.85408,                0.48963,                0.42002,                0.92721,               0.002674,               0.002674,               0.002674
                    114,                0.54903,                0.43612,                0.97942,                0.90911,                0.88931,                0.92392,                0.85355,                0.48998,                0.42305,                0.92832,               0.002608,               0.002608,               0.002608
                    115,                0.54791,                0.43457,                0.97961,                0.91129,                0.88351,                0.92314,                0.85374,                0.48997,                0.42126,                0.92785,               0.002542,               0.002542,               0.002542
                    116,                0.54414,                0.42729,                0.97473,                0.90827,                0.88578,                0.92369,                0.85442,                0.48917,                0.41916,                0.92675,               0.002476,               0.002476,               0.002476
                    117,                0.54248,                0.42209,                0.97242,                0.90383,                0.89327,                0.92491,                0.85555,                0.48874,                 0.4189,                0.92622,                0.00241,                0.00241,                0.00241
                    118,                0.54087,                0.42678,                0.97378,                0.91544,                 0.8843,                0.92401,                0.85588,                0.48963,                 0.4173,                0.92713,               0.002344,               0.002344,               0.002344
                    119,                0.54557,                0.42576,                 0.9801,                0.90275,                0.89939,                0.92547,                0.85664,                0.49008,                0.41487,                 0.9274,               0.002278,               0.002278,               0.002278
                    120,                 0.5422,                 0.4299,                0.97347,                0.90965,                0.89026,                0.92425,                 0.8549,                0.49085,                0.41635,                0.92881,               0.002212,               0.002212,               0.002212
                    121,                0.53535,                0.42002,                0.97047,                0.90314,                0.89592,                0.92474,                0.85537,                0.49022,                0.41716,                0.92856,               0.002146,               0.002146,               0.002146
                    122,                0.53324,                0.41109,                0.97084,                0.91169,                0.88684,                0.92396,                 0.8543,                0.49147,                0.41882,                0.93019,                0.00208,                0.00208,                0.00208
                    123,                0.52987,                0.40998,                0.96394,                0.90937,                0.88884,                0.92355,                 0.8544,                0.49099,                0.41956,                0.92933,               0.002014,               0.002014,               0.002014
                    124,                0.53234,                0.41459,                0.97092,                0.91196,                0.88495,                0.92375,                0.85366,                0.48974,                0.41961,                0.92831,               0.001948,               0.001948,               0.001948
                    125,                0.53359,                0.41099,                0.97423,                  0.906,                0.89401,                0.92342,                0.85348,                0.48947,                0.41774,                0.92845,               0.001882,               0.001882,               0.001882
                    126,                0.52716,                0.40862,                0.97026,                0.90151,                0.89774,                0.92299,                0.85296,                0.48901,                0.41837,                0.92803,               0.001816,               0.001816,               0.001816
                    127,                0.52724,                0.41248,                0.96557,                0.89972,                0.89849,                0.92383,                0.85379,                0.48752,                0.41743,                0.92698,                0.00175,                0.00175,                0.00175
                    128,                 0.5259,                 0.4123,                0.97078,                 0.9081,                0.89002,                0.92223,                0.85227,                0.48805,                0.41812,                0.92689,               0.001684,               0.001684,               0.001684
                    129,                0.52555,                 0.4057,                0.96441,                0.90637,                0.89089,                0.92337,                0.85327,                0.48777,                0.41707,                0.92649,               0.001618,               0.001618,               0.001618
                    130,                0.52821,                0.41101,                0.96609,                0.90871,                  0.888,                0.92243,                0.85307,                0.48757,                0.41644,                0.92652,               0.001552,               0.001552,               0.001552
                    131,                0.52698,                0.40729,                0.96489,                0.91056,                0.88811,                0.92303,                0.85421,                0.48804,                0.41406,                0.92727,               0.001486,               0.001486,               0.001486
                    132,                0.52621,                0.40101,                0.96269,                0.90299,                0.89692,                0.92379,                0.85433,                0.48862,                0.41278,                0.92817,                0.00142,                0.00142,                0.00142
                    133,                0.52125,                0.40087,                0.96327,                 0.9064,                0.89637,                0.92463,                0.85545,                0.48789,                0.41283,                0.92784,               0.001354,               0.001354,               0.001354
                    134,                0.51996,                0.39912,                0.96267,                 0.9043,                0.89919,                 0.9252,                0.85574,                0.48826,                0.41219,                0.92814,               0.001288,               0.001288,               0.001288
                    135,                0.51923,                0.39713,                0.96328,                0.91239,                 0.8901,                0.92477,                0.85586,                0.48787,                0.41147,                0.92771,               0.001222,               0.001222,               0.001222
                    136,                0.51506,                0.39463,                0.96328,                0.90282,                0.89895,                0.92517,                0.85601,                 0.4871,                0.41078,                0.92733,               0.001156,               0.001156,               0.001156
                    137,                0.51318,                0.38908,                0.95677,                0.90398,                0.89895,                 0.9253,                0.85623,                0.48709,                0.41172,                0.92746,                0.00109,                0.00109,                0.00109
                    138,                0.51293,                 0.3968,                0.96183,                0.90702,                0.89553,                0.92516,                 0.8564,                0.48744,                0.41196,                0.92798,               0.001024,               0.001024,               0.001024
                    139,                0.51577,                0.39158,                0.96221,                0.90484,                0.89655,                0.92502,                 0.8564,                0.48717,                0.41166,                0.92779,               0.000958,               0.000958,               0.000958
